Summer,Site,Depth,Treatment,Trial Length,Trial_Length_Frame_Adjusted,VisitedTrial,Arrival_Frame,VisitedTube,ArrivalTime_Tube,Tube_Location_Time,DurationTube,MaxTube,TubeEnter,FrameEnter23,Notes
2022,1,Submerged,Anchovy,900,773,Yes,127,Yes,130,3,392,3,48,NA,
2022,2,Submerged,Anchovy,848,373,Yes,475,Yes,476,1,88,2,9,NA,
2022,3,Submerged,Anchovy,882,470,Yes,412,Yes,417,5,116,2,15,NA,
2022,4,Submerged,Anchovy,900,900,Yes,0,Yes,11,11,249,2,38,NA,
2022,5,Submerged,Anchovy,900,764,Yes,136,Yes,152,16,504,4,32,NA,
2022,6,Submerged,Anchovy,900,786,Yes,114,Yes,171,57,63,1,11,NA,
2022,7,Submerged,Anchovy,900,473,Yes,427,Yes,465,38,109,1,15,NA,
2022,8,Submerged,Anchovy,900,732,Yes,168,Yes,181,13,131,2,14,NA,
2022,1,Submerged,Control,868,NA,No,NA,No,NA,NA,NA,0,0,NA,
2022,2,Submerged,Control,900,NA,No,NA,No,NA,NA,NA,0,0,NA,
2022,3,Submerged,Control,882,NA,No,NA,No,NA,NA,NA,0,0,NA,
2022,4,Submerged,Control,868,NA,No,NA,No,NA,NA,NA,0,0,NA,
2022,5,Submerged,Control,876,NA,No,NA,No,NA,NA,NA,0,0,NA,
2022,6,Submerged,Control,882,NA,No,NA,No,NA,NA,NA,0,0,NA,
2022,7,Submerged,Control,900,NA,No,NA,No,NA,NA,NA,0,0,NA,
2022,8,Submerged,Control,828,NA,No,NA,No,NA,NA,NA,0,0,NA,
2022,1,Submerged,Kelpbass,880,519,Yes,361,Yes,561,200,45,1,5,NA,
2022,2,Submerged,Kelpbass,900,762,Yes,138,Yes,164,26,233,2,18,NA,
2022,3,Submerged,Kelpbass,900,552,Yes,348,Yes,349,1,124,2,15,NA,
2022,6,Submerged,Kelpbass,402,259,Yes,143,Yes,146,3,0,2,NA,NA,Tube Enter - 15; Trial interrupted
2022,2,Submerged,Octopus,900,787,Yes,113,Yes,116,3,106,1,8,NA,
2022,4,Submerged,Octopus,871,866,Yes,5,Yes,76,71,86,1,8,NA,
2022,7,Submerged,Octopus,900,657,Yes,243,Yes,249,6,127,1,17,NA,
2022,8,Submerged,Octopus,900,758,Yes,142,Yes,162,20,37,1,4,NA,
2022,1,Submerged,Squid,900,797,Yes,103,Yes,104,1,527,4,52,NA,
2022,2,Submerged,Squid,900,760,Yes,140,Yes,143,3,270,3,34,NA,
2022,3,Submerged,Squid,561,337,Yes,224,Yes,315,91,NA,3,NA,NA,"Duration Tube - 136, Tube enter - 23; trial interrupted "
2022,4,Submerged,Squid,900,863,Yes,37,Yes,39,2,365,2,47,NA,
2022,5,Submerged,Squid,896,881,Yes,15,Yes,17,2,213,2,34,NA,
2022,6,Submerged,Squid,900,616,Yes,284,Yes,290,6,123,1,15,NA,
2022,7,Submerged,Squid,900,819,Yes,81,Yes,95,14,211,1,18,NA,
2022,8,Submerged,Squid,900,800,Yes,100,Yes,102,2,234,2,28,NA,
2022,1,Exposed,Anchovy,900,762,Yes,138,Yes,140,2,59,1,18,NA,
2022,2,Exposed,Anchovy,900,579,Yes,321,No,NA,NA,0,0,0,NA,
2022,3,Exposed,Anchovy,889,NA,No,NA,No,NA,NA,NA,0,0,NA,
2022,4,Exposed,Anchovy,900,834,Yes,66,Yes,79,13,23,1,7,NA,
2022,5,Exposed,Anchovy,892,630,Yes,262,Yes,270,8,174,3,48,NA,
2022,6,Exposed,Anchovy,892,616,Yes,276,Yes,279,3,36,1,6,NA,
2022,7,Exposed,Anchovy,898,514,Yes,384,Yes,498,114,44,1,3,NA,
2022,8,Exposed,Anchovy,900,765,Yes,135,Yes,140,5,36,1,7,NA,
2022,1,Exposed,Control,885,NA,No,NA,No,NA,NA,NA,0,0,NA,
2022,2,Exposed,Control,900,NA,No,NA,No,NA,NA,NA,0,0,NA,
2022,3,Exposed,Control,900,NA,No,NA,No,NA,NA,NA,0,0,NA,
2022,4,Exposed,Control,900,NA,No,NA,No,NA,NA,NA,0,0,NA,
2022,5,Exposed,Control,900,NA,No,NA,No,NA,NA,NA,0,0,NA,
2022,6,Exposed,Control,900,NA,No,NA,No,NA,NA,NA,0,0,NA,
2022,7,Exposed,Control,900,NA,No,NA,No,NA,NA,NA,0,0,NA,
2022,8,Exposed,Control,887,NA,No,NA,No,NA,NA,NA,0,0,NA,
2022,1,Exposed,Kelpbass,900,826,Yes,74,No, NA,NA,NA,0,0,NA,
2022,4,Exposed,Kelpbass,897,827,Yes,70,No,NA,NA,0,0,0,NA,
2022,5,Exposed,Kelpbass,900,780,Yes,120,No,121,1,1,1,1,NA,
2022,7,Exposed,Kelpbass,900,NA,No,NA,No,NA,NA,NA,0,0,NA,
2022,8,Exposed,Kelpbass,900,52,Yes,848,No,NA,NA,0,0,0,NA,
2022,1,Exposed,Octopus,900,534,Yes,366,Yes,405,39,27,1,6,NA,
2022,2,Exposed,Octopus,900,876,Yes,24,Yes,100,76,1,1,1,NA,
2022,3,Exposed,Octopus,900,839,Yes,61,No,NA,NA,0,0,0,NA,
2022,4,Exposed,Octopus,900,835,Yes,65,Yes,96,31,15,1,7,NA,
2022,5,Exposed,Octopus,900,818,Yes,82,Yes,129,47,1,1,1,NA,
2022,6,Exposed,Octopus,892,717,Yes,175,No,NA,NA,0,0,0,NA,
2022,7,Exposed,Octopus,863,NA,No,NA,No,NA,NA,NA,0,0,NA,
2022,1,Exposed,Squid,900,808,Yes,92,Yes,384,292,14,1,1,NA,
2022,2,Exposed,Squid,900,825,Yes,75,Yes,106,31,0.5,1,1,NA,
2022,3,Exposed,Squid,900,850,Yes,50,Yes,53,3,100,2,29,NA,
2022,4,Exposed,Squid,900,848,Yes,52,Yes,53,1,73,2,19,NA,
2022,5,Exposed,Squid,900,747,Yes,153,Yes,469,316,42,1,6,NA,
2022,6,Exposed,Squid,895,345,Yes,550,Yes,607,57,2,1,2,NA,
2022,7,Exposed,Squid,892,836,Yes,56,Yes,63,7,3,1,3,NA,
2022,8,Exposed,Squid,900,839,Yes,61,Yes,62,1,36,1,4,NA,
2023,1,Submerged,Anchovy,900,745.513,Yes,154.487,Yes,160.467,5.98,329.804,3,28,33,
2023,2,Submerged,Anchovy,900,552.746,Yes,347.254,Yes,478.436,131.182,62.248,1,2,7,
2023,3,Submerged,Anchovy,900,772.589,Yes,127.411,Yes,225.378,97.967,31.375,3,6,36,
2023,4,Submerged,Anchovy,900,656.353,Yes,243.647,Yes,261.203,17.556,140.153,2,28,31,
2023,5,Submerged,Anchovy,900,482.177,Yes,417.823,Yes,435.879,18.056,262.429,3,23,16,
2023,6,Submerged,Anchovy,900,415.743,Yes,484.257,No,NA,NA,0,0,0,5,
2023,7,Submerged,Anchovy,900,561.757,Yes,338.243,Yes,342.494,4.251,60.416,1,5,9,
2023,8,Submerged,Anchovy,900,144.84,Yes,755.16,Yes,756.924,1.764,33.295,1,4,5,
2023,1,Submerged,Control,900,NA,No,NA,No,NA,NA,NA,0,0,0,
2023,2,Submerged,Control,900,NA,No,NA,No,NA,NA,NA,0,0,0,
2023,3,Submerged,Control,900,NA,No,NA,No,NA,NA,NA,0,0,0,
2023,4,Submerged,Control,900,711.031,Yes,188.969,Yes,190.968,1.999,43.167,1,6,3,
2023,5,Submerged,Control,900,547.247,Yes,352.753,No,NA,NA,0,1,0,8,
2023,6,Submerged,Control,900,NA,No,NA,No,NA,NA,NA,0,0,0,
2023,7,Submerged,Control,900,NA,No,NA,No,NA,NA,NA,0,0,0,
2023,8,Submerged,Control,900,NA,No,NA,No,NA,NA,NA,0,0,0,
2023,1,Submerged,Kelpbass,900,787.985,Yes,112.015,Yes,116.318,4.303,423.533,2,30,23,
2023,2,Submerged,Kelpbass,900,740.188,Yes,159.812,Yes,235.425,75.613,144.5,2,16,51,
2023,3,Submerged,Kelpbass,900,482.18,Yes,417.82,Yes,607.759,189.939,60.807,1,6,11,
2023,4,Submerged,Kelpbass,900,805.126,Yes,94.874,Yes,108.054,13.18,102.98,1,16,16,
2023,5,Submerged,Kelpbass,900,649.1,Yes,250.9,Yes,277.202,26.302,274.996,2,25,27,
2023,6,Submerged,Kelpbass,900,66,Yes,834,Yes,835.748,1.748,12.507,1,2,2,
2023,7,Submerged,Kelpbass,900,802.247,Yes,97.753,Yes,101.363,3.61,109.346,1,25,19,
2023,8,Submerged,Kelpbass,900,NA,No,NA,No,NA,NA,NA,0,0,0,
2023,1,Submerged,Octopus,900,838.784,Yes,61.216,Yes,294.551,233.335,325.527,3,30,32,
2023,2,Submerged,Octopus,900,749.447,Yes,150.553,Yes,282.699,132.146,70.853,1,4,15,
2023,3,Submerged,Octopus,900,700.821,Yes,199.179,Yes,257.729,58.55,120.915,1,14,19,
2023,4,Submerged,Octopus,900,825.263,Yes,74.737,Yes,95.546,20.809,143.589,3,17,26,
2023,5,Submerged,Octopus,900,784.97,Yes,115.03,Yes,149.583,34.553,170.296,2,20,22,
2023,6,Submerged,Octopus,900,152.597,Yes,747.403,Yes,814.774,67.371,13.011,1,1,5,
2023,7,Submerged,Octopus,900,234.669,Yes,665.331,Yes,728.694,63.363,24.014,1,3,8,
2023,8,Submerged,Octopus,900,211.073,Yes,688.927,Yes,710.48,21.553,52.935,1,7,4,
2023,1,Submerged,Squid,900,716.886,Yes,183.114,Yes,192.228,9.114,477.359,3,51,23,
2023,2,Submerged,Squid,900,804.502,Yes,95.498,Yes,348.632,253.134,161.629,2,12,25,
2023,3,Submerged,Squid,900,553.249,Yes,346.751,Yes,380.838,34.087,99.96,1,10,27,
2023,4,Submerged,Squid,900,866.816,Yes,33.184,Yes,54.987,21.803,176.846,2,25,24,
2023,5,Submerged,Squid,900,755.45,Yes,144.55,Yes,218.605,74.055,201.254,2,41,31,
2023,6,Submerged,Squid,900,576.336,Yes,323.664,Yes,333.488,9.824,13.312,0,1,2,
2023,7,Submerged,Squid,900,760,Yes,140,Yes,145.596,5.596,55.033,1,11,21,
2023,8,Submerged,Squid,900,NA,No,NA,No,NA,NA,NA,0,0,0,
2023,1,Exposed,Anchovy,900,886.186,Yes,13.814,Yes,142.714,128.9,18.427,1,6,55,
2023,2,Exposed,Anchovy,900,859.504,Yes,40.496,Yes,531.598,491.102,80.999,2,8,34,
2023,3,Exposed,Anchovy,900,731.883,Yes,168.117,No,NA,NA,0,0,0,50,
2023,4,Exposed,Anchovy,900,819.641,Yes,80.359,Yes,93.497,13.138,24.949,1,3,31,
2023,5,Exposed,Anchovy,900,665.513,Yes,234.487,No,NA,NA,0,0,0,1,
2023,6,Exposed,Anchovy,900,318.251,Yes,581.749,Yes,598.625,16.876,9.692,1,3,18,
2023,7,Exposed,Anchovy,900,593.224,Yes,306.776,Yes,323.839,17.063,60.97,1,6,9,
2023,8,Exposed,Anchovy,900,787.139,Yes,112.861,Yes,546.911,434.05,5.92,1,1,30,
2023,1,Exposed,Control,900,475.4,Yes,424.6,No,NA,NA,0,0,0,1,
2023,2,Exposed,Control,900,NA,No,NA,No,NA,NA,NA,0,0,0,
2023,3,Exposed,Control,900,NA,No,NA,No,NA,NA,NA,0,0,0,
2023,4,Exposed,Control,900,360.557,Yes,539.443,Yes,768.729,229.286,7.242,1,4,5,
2023,5,Exposed,Control,900,NA,No,NA,No,NA,NA,NA,0,0,0,
2023,6,Exposed,Control,900,NA,No,NA,No,NA,NA,NA,0,0,0,
2023,7,Exposed,Control,900,743.105,Yes,156.895,No,NA,NA,0,0,0,2,
2023,8,Exposed,Control,900,NA,No,NA,No,NA,NA,NA,0,0,0,
2023,1,Exposed,Kelpbass,900,899.744,Yes,0.256,Yes,134.421,134.165,77.342,2,14,63,
2023,2,Exposed,Kelpbass,900,778.872,Yes,121.128,No,NA,NA,0,0,0,14,
2023,3,Exposed,Kelpbass,900,807.397,Yes,92.603,No,NA,NA,0,0,0,5,
2023,4,Exposed,Kelpbass,900,748.945,Yes,151.055,Yes,546.991,395.936,9.332,1,1,20,
2023,5,Exposed,Kelpbass,900,498.34,Yes,401.66,No,NA,NA,0,0,0,2,
2023,6,Exposed,Kelpbass,900,627.753,Yes,272.247,No,NA,NA,0,0,0,25,
2023,7,Exposed,Kelpbass,900,701.361,Yes,198.639,Yes,295.166,96.527,12.423,1,2,10,
2023,8,Exposed,Kelpbass,900,246.89,Yes,653.11,No,NA,NA,0,0,0,4,
2023,1,Exposed,Octopus,900,745.15,Yes,154.85,Yes,211.505,56.655,28.775,1,6,21,
2023,2,Exposed,Octopus,900,799.725,Yes,100.275,No,NA,NA,0,0,0,28,
2023,3,Exposed,Octopus,900,726.051,Yes,173.949,No,NA,NA,0,0,0,10,
2023,4,Exposed,Octopus,900,756.338,Yes,143.662,No,NA,NA,0,0,0,31,
2023,5,Exposed,Octopus,900,780.847,Yes,119.153,No,NA,NA,0,0,0,8,
2023,6,Exposed,Octopus,900,606.71,Yes,293.29,Yes,656.164,362.874,0.58,1,1,11,
2023,7,Exposed,Octopus,900,709.82,Yes,190.18,No,NA,NA,0,0,0,4,
2023,8,Exposed,Octopus,900,NA,No,NA,No,NA,NA,0,0,0,0,
2023,1,Exposed,Squid,900,867.32,Yes,32.68,Yes,94.74,62.06,14.682,1,7,60,
2023,2,Exposed,Squid,900,753.946,Yes,146.054,No,NA,NA,0,0,0,19,
2023,3,Exposed,Squid,900,644.362,Yes,255.638,Yes,845.309,589.671,5.841,1,3,3,
2023,4,Exposed,Squid,900,853.228,Yes,46.772,Yes,258.722,211.95,1.503,1,1,11,
2023,5,Exposed,Squid,900,653.353,Yes,246.647,Yes,805.959,559.312,1.65,1,1,51,
2023,6,Exposed,Squid,900,684.228,Yes,215.772,Yes,617.642,401.87,34.737,1,3,16,
2023,7,Exposed,Squid,900,371.542,Yes,528.458,No,NA,NA,0,0,0,4,
2023,8,Exposed,Squid,900,NA,No,NA,No,NA,NA,NA,0,0,0,